"group_type","group_name","mean_paf","lower_paf","upper_paf","asir","attributable_incidence_mean","attributable_incidence_lower","attributable_incidence_upper"
"gender","Female",0.30702926932562,0.301632949359623,0.311410671015701,55.57543625275,17.0632855851344,16.7633827488647,17.3067838954592
"gender","Male",0.332625301204154,0.328518229341497,0.337215053549742,166.22156378683,55.2894977212199,54.6068138136241,56.0524135334977
"age","22.5",0.516575316293309,0.512900637766029,0.51829664147716,15.88069558873,8.20357534670596,8.14521889562777,8.23091118795992
"age","27.5",0.507393409796792,0.507382373267796,0.507382373267796,38.51903622635,19.5443051329739,19.5438800165137,19.5438800165137
"age","32.5",0.488096632581458,0.485679715779968,0.491691946629444,67.61675299768,33.0035094442598,32.8400853778775,33.2466129061916
"age","37.5",0.461172406575375,0.450244851978347,0.461976674474274,98.23463960543,45.3031051559008,44.2296407682931,45.3821121230953
"age","42.5",0.406770656258906,0.393939393939394,0.416113312289953,135.56846084542,55.1452717861013,53.4057573027412,56.4118412844385
"age","47.5",0.379135352423141,0.361702127659574,0.381443298969072,183.74526420959,69.6643255021861,66.4610530119794,70.0883997500498
"age","52.5",0.329647575840541,0.325842696629214,0.347826086956522,235.4756799413,77.6239870620527,76.7280305426708,81.9045843274087
"age","57.5",0.306292183593566,0.294117647058824,0.310344827586207,285.20133104697,87.3549384501678,83.8827444255794,88.5107579111286
"age","62.5",0.2795647607607,0.27710843373494,0.285714285714286,331.79389208907,92.7578800637424,91.9428857596218,94.7982548825914
"age","67.5",0.231232469595694,0.230769230769231,0.240506329113924,395.4541455418,91.4418386854855,91.2586489711846,95.1092248771417
"age","72.5",0.190205405405405,0.189189189189189,0.2,434.63109239026,82.6691831298836,82.2275039657248,86.926218478052
"age","77.5",0.160333374213052,0.154929577464789,0.189189189189189,457.34844894741,73.328220010844,70.8568019495987,86.5253822332938
"age","82.5",0.112794245644419,0.0909090909090909,0.130434782608696,463.16703904772,52.2425767767469,42.1060944588836,60.4130920497026
"age","87.5",0.0625428321678322,0.0625,0.0625,462.73009311932,28.940450552967,28.9206308199575,28.9206308199575
"age","92.5",0.0499697580645161,0.0476190476190476,0.0625,475.19420302461,23.7453393588003,22.6282953821243,29.6996376890381
"age","97.5",0.0308778424114225,0.0163934426229508,0.032258064516129,500.81380088767,15.464049621275,8.21006230963393,16.1552838996023
"education","â‰¥12",0.335587729792332,0.329924303139632,0.341479530273456,109.0748935603,36.6041959072413,35.9864582479115,37.2468434175984
"education","0-6",0.272321836177746,0.266524390867472,0.277095627669333,109.0748935603,29.703475295233,29.0711195650933,30.224176094057
"education","6-12",0.347631882893141,0.342831901039758,0.350514237069932,109.0748935603,37.917910624736,37.3943531149869,38.2323030997726
"residence","Rural",0.287456217540288,0.283109140186759,0.290924531889439,109.0748935603,31.3542563314533,30.8800993318188,31.7325623499206
"residence","Urban",0.349827614147026,0.345135872037976,0.354280046447247,109.0748935603,38.1574097775406,37.6456585063835,38.6430583567716
